FIPS,State,County,FIR,FIP,P_Below,P_Between,Percent Above Threshold,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial,Region,Budget Per FIP
48003,TX,Andrews,0.084,1480,0.642,0.053,0.305,2.94,742000,2017,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,501.35135135135135
48003,TX,Andrews,0.101,1800,0.547,0.078,0.375,2.94,895000,2018,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,497.22222222222223
48003,TX,Andrews,0.098,1760,0.602,0.061,0.336,2.94,886000,2019,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,503.40909090909093
48005,TX,Angelina,0.194,16570,0.637,0.064,0.298,2.23,6360380,2010,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,383.8491249245625
48005,TX,Angelina,0.185,15910,0.692,0.104,0.204,2.44,6328790,2011,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,397.78692646134505
48005,TX,Angelina,0.191,16540,0.705,0.088,0.207,2.456020553648726,7114000,2012,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,430.10882708585245
48005,TX,Angelina,0.202,17620,0.723,0.071,0.205,2.56,7974000,2013,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,452.55391600454027
48005,TX,Angelina,0.2,17500,0.715,0.061,0.223,2.66,8231000,2014,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,470.34285714285716
48005,TX,Angelina,0.201,17670,0.694,0.079,0.227,2.74,8671000,2015,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,490.7187323146576
48005,TX,Angelina,0.199,17480,0.67,0.036,0.293,2.83,8444000,2016,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,483.06636155606407
48005,TX,Angelina,0.189,16570,0.645,0.039,0.316,2.94,8312000,2017,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,501.62945081472543
